Date,Open,High,Low,Close,Adj Close,Volume
2022-12-17,0.052967,0.054888,0.052072,0.054871,0.054871,225983901
2022-12-18,0.054868,0.055056,0.053442,0.053788,0.053788,167766398
2022-12-19,0.053791,0.054220,0.053264,0.053632,0.053632,187707442
2022-12-20,0.053632,0.055164,0.053560,0.054985,0.054985,184653754
2022-12-21,0.054986,0.055415,0.054629,0.054847,0.054847,137005094
2022-12-22,0.054857,0.055770,0.054685,0.055552,0.055552,162724426
2022-12-23,0.055554,0.055676,0.054190,0.054236,0.054236,149471811
2022-12-24,0.054234,0.054808,0.054127,0.054742,0.054742,101569505
2022-12-25,0.054741,0.054864,0.054259,0.054814,0.054814,112729218
2022-12-26,0.054819,0.055000,0.054346,0.054552,0.054552,116647160
2022-12-27,0.054555,0.054690,0.053784,0.054106,0.054106,146077041
2022-12-28,0.054105,0.054602,0.053375,0.054145,0.054145,165230958
2022-12-29,0.054145,0.054463,0.053333,0.054014,0.054014,159780714
2022-12-30,0.054013,0.054445,0.053647,0.054374,0.054374,160347943
2022-12-31,0.054376,0.055042,0.054364,0.054500,0.054500,128634359
2023-01-01,0.054498,0.054936,0.054457,0.054820,0.054820,100273280
2023-01-02,0.054818,0.055394,0.054505,0.055157,0.055157,138920680
2023-01-03,0.055159,0.055495,0.054789,0.054833,0.054833,130813322
2023-01-04,0.054834,0.055618,0.054448,0.054732,0.054732,176956208
2023-01-05,0.054732,0.054978,0.053460,0.053661,0.053661,182910374
2023-01-06,0.053670,0.053886,0.050070,0.052494,0.052494,769019622
2023-01-07,0.052492,0.052814,0.051493,0.052019,0.052019,277255900
2023-01-08,0.052014,0.053815,0.051392,0.053815,0.053815,202055018
2023-01-09,0.053895,0.056371,0.053791,0.054626,0.054626,374224118
2023-01-10,0.054624,0.054903,0.054005,0.054782,0.054782,196148451
2023-01-11,0.054787,0.056486,0.054714,0.056486,0.056486,209852698
2023-01-12,0.056777,0.057257,0.055868,0.057111,0.057111,241844702
2023-01-13,0.057111,0.060466,0.056911,0.060011,0.060011,258403126
2023-01-14,0.060009,0.065587,0.060009,0.061875,0.061875,566265041
2023-01-15,0.061876,0.062727,0.060789,0.062356,0.062356,266691428
2023-01-16,0.062353,0.063167,0.061503,0.062430,0.062430,249155140
2023-01-17,0.062432,0.062493,0.061575,0.061726,0.061726,214020771
2023-01-18,0.061726,0.062353,0.059003,0.059003,0.059003,260102160
2023-01-19,0.058997,0.060241,0.058920,0.060153,0.060153,170235362
2023-01-20,0.060148,0.062860,0.059982,0.062831,0.062831,193161022
2023-01-21,0.062824,0.063096,0.061726,0.061732,0.061732,260535017
2023-01-22,0.061738,0.062618,0.060927,0.061679,0.061679,209391461
2023-01-23,0.061682,0.063167,0.061426,0.062823,0.062823,224484708
2023-01-24,0.062810,0.063442,0.059963,0.060204,0.060204,228798004
2023-01-25,0.060208,0.062626,0.059435,0.061842,0.061842,220414744
2023-01-26,0.061828,0.062097,0.061354,0.061731,0.061731,189522704
2023-01-27,0.061734,0.064188,0.061047,0.063582,0.063582,321741026
2023-01-28,0.063585,0.063915,0.062206,0.063092,0.063092,232264924
2023-01-29,0.063096,0.064366,0.062998,0.063794,0.063794,298809875
2023-01-30,0.063793,0.063962,0.061653,0.062247,0.062247,322622838
2023-01-31,0.062250,0.063042,0.061788,0.062220,0.062220,272093600
2023-02-01,0.062218,0.063321,0.061533,0.063193,0.063193,281503052
2023-02-02,0.063181,0.065334,0.063167,0.063761,0.063761,408694985
2023-02-03,0.063759,0.064712,0.063619,0.064122,0.064122,331119561
2023-02-04,0.064122,0.064439,0.063223,0.063824,0.063824,240138022
2023-02-05,0.063824,0.065650,0.063308,0.064085,0.064085,383628012
2023-02-06,0.064091,0.064449,0.062897,0.063194,0.063194,263575211
2023-02-07,0.063184,0.065852,0.063155,0.065774,0.065774,391361423
2023-02-08,0.065773,0.069343,0.065570,0.066874,0.066874,627966026
2023-02-09,0.066871,0.067025,0.062126,0.062614,0.062614,649103224
2023-02-10,0.062616,0.063886,0.062469,0.063323,0.063323,341903614
2023-02-11,0.063325,0.064042,0.063228,0.063805,0.063805,192015517
2023-02-12,0.063799,0.065078,0.063669,0.063837,0.063837,188947371
2023-02-13,0.063832,0.065678,0.063200,0.065600,0.065600,312370710
2023-02-14,0.065598,0.066825,0.065188,0.066746,0.066746,278017069
2023-02-15,0.066748,0.070838,0.066748,0.070821,0.070821,354951527
2023-02-16,0.070822,0.071419,0.066849,0.066882,0.066882,396517012
2023-02-17,0.066875,0.071485,0.066649,0.070457,0.070457,367932392
2023-02-18,0.070450,0.071046,0.069795,0.070138,0.070138,226753466
2023-02-19,0.070132,0.071559,0.069821,0.070385,0.070385,227740238
2023-02-20,0.070417,0.072891,0.069729,0.071940,0.071940,378596767
2023-02-21,0.071936,0.072035,0.069110,0.069467,0.069467,303772124
2023-02-22,0.069470,0.069622,0.068280,0.069434,0.069434,240981973
2023-02-23,0.069433,0.070354,0.069112,0.069594,0.069594,216718423
2023-02-24,0.069590,0.069986,0.067457,0.067852,0.067852,216581383
2023-02-25,0.067856,0.068747,0.066932,0.067834,0.067834,206862281
2023-02-26,0.067831,0.069690,0.067816,0.069513,0.069513,191149284
2023-02-27,0.069511,0.069656,0.068489,0.069397,0.069397,219217373
2023-02-28,0.069403,0.069777,0.068662,0.069011,0.069011,206608576
2023-03-01,0.069015,0.070255,0.068833,0.069878,0.069878,213887807
2023-03-02,0.069876,0.070149,0.069044,0.069651,0.069651,208539788
2023-03-03,0.069651,0.069767,0.066620,0.067159,0.067159,262446714
2023-03-04,0.067157,0.067525,0.066187,0.066684,0.066684,183966665
2023-03-05,0.066687,0.067791,0.066582,0.067256,0.067256,164056033
2023-03-06,0.067255,0.067642,0.066743,0.067401,0.067401,186105196
2023-03-07,0.067401,0.067627,0.065838,0.066263,0.066263,221770992
2023-03-08,0.066263,0.066515,0.064887,0.065260,0.065260,211024622
2023-03-09,0.065261,0.066183,0.057230,0.058457,0.058457,456504522
2023-03-10,0.058461,0.058631,0.055754,0.057417,0.057417,517634913
2023-03-11,0.057424,0.059292,0.055380,0.059272,0.059272,416436742
2023-03-12,0.059270,0.064714,0.058940,0.064710,0.064710,347554981
2023-03-13,0.064731,0.068721,0.064731,0.067220,0.067220,629423181
2023-03-14,0.067213,0.069076,0.066105,0.067133,0.067133,479935465
2023-03-15,0.067144,0.067941,0.064401,0.065313,0.065313,351647072
2023-03-16,0.065324,0.066811,0.065153,0.065367,0.065367,284940911
2023-03-17,0.065366,0.067946,0.065000,0.067795,0.067795,298647153
2023-03-18,0.067788,0.068173,0.065617,0.065877,0.065877,266466762
2023-03-19,0.065879,0.067378,0.065878,0.066769,0.066769,227466259
2023-03-20,0.066760,0.067080,0.065072,0.065111,0.065111,257085180
2023-03-21,0.065126,0.067277,0.065100,0.067183,0.067183,272449145
2023-03-22,0.067178,0.068122,0.057481,0.059875,0.059875,656303403
2023-03-23,0.059872,0.066488,0.059622,0.065263,0.065263,578593453
2023-03-24,0.065263,0.065504,0.062923,0.063443,0.063443,326386910
2023-03-25,0.063445,0.064330,0.062892,0.063723,0.063723,212310172
2023-03-26,0.063724,0.064822,0.063519,0.064216,0.064216,198798457
2023-03-27,0.064218,0.064369,0.062048,0.063580,0.063580,241874730
2023-03-28,0.063580,0.064445,0.063382,0.064215,0.064215,215581345
2023-03-29,0.064211,0.065415,0.064059,0.064341,0.064341,240013427
2023-03-30,0.064344,0.065341,0.063838,0.064820,0.064820,258652353
2023-03-31,0.064827,0.066102,0.064498,0.065616,0.065616,224600778
2023-04-01,0.065615,0.067089,0.065430,0.066842,0.066842,219808205
2023-04-02,0.066455,0.066871,0.064958,0.065312,0.065312,187174703
2023-04-03,0.065302,0.066146,0.064398,0.065761,0.065761,226414717
2023-04-04,0.065757,0.066742,0.065677,0.065783,0.065783,228568032
2023-04-05,0.065782,0.066609,0.065478,0.066109,0.066109,200006422
2023-04-06,0.066114,0.066671,0.065733,0.066098,0.066098,220436025
2023-04-07,0.066096,0.066484,0.065661,0.066113,0.066113,175108623
2023-04-08,0.066110,0.066567,0.065810,0.066153,0.066153,161228526
2023-04-09,0.066154,0.066867,0.065971,0.066652,0.066652,160496297
2023-04-10,0.066654,0.067405,0.066291,0.067336,0.067336,208000060
2023-04-11,0.067338,0.067694,0.065677,0.066432,0.066432,314766026
2023-04-12,0.066433,0.066497,0.062596,0.065026,0.065026,263863465
2023-04-13,0.065097,0.065481,0.064695,0.065309,0.065309,239705567
2023-04-14,0.065310,0.066888,0.065250,0.066258,0.066258,249121640
2023-04-15,0.066256,0.066256,0.065625,0.066001,0.066001,160719155
2023-04-16,0.065998,0.066680,0.065788,0.066552,0.066552,138908766
2023-04-17,0.066553,0.066617,0.065494,0.065784,0.065784,186846117
2023-04-18,0.065785,0.066798,0.065666,0.066762,0.066762,182633505
2023-04-19,0.066764,0.067118,0.065106,0.065849,0.065849,284488433
2023-04-20,0.065835,0.066615,0.064863,0.065413,0.065413,260052069
2023-04-21,0.065413,0.065958,0.064394,0.065001,0.065001,203170564
2023-04-22,0.064998,0.066130,0.064916,0.066075,0.066075,186829871
2023-04-23,0.066074,0.066954,0.065710,0.066677,0.066677,179889691
2023-04-24,0.066674,0.066968,0.065931,0.066140,0.066140,183407395
2023-04-25,0.066139,0.066204,0.065290,0.065863,0.065863,174903064
2023-04-26,0.065861,0.067049,0.064213,0.065183,0.065183,260293408
2023-04-27,0.065179,0.066101,0.065085,0.065794,0.065794,190727736
2023-04-28,0.065797,0.066710,0.065689,0.066710,0.066710,159999592
2023-04-29,0.066712,0.068170,0.066694,0.068004,0.068004,165520602
2023-04-30,0.068003,0.068058,0.067343,0.067343,0.067343,168124254
2023-05-01,0.067343,0.069311,0.066954,0.068504,0.068504,273046031
2023-05-02,0.068508,0.069800,0.067310,0.069246,0.069246,223619552
2023-05-03,0.069248,0.069538,0.068368,0.069245,0.069245,241038777
2023-05-04,0.069246,0.069628,0.069050,0.069454,0.069454,175585119
2023-05-05,0.069454,0.071342,0.069447,0.071003,0.071003,216516011
2023-05-06,0.071003,0.071140,0.069807,0.070327,0.070327,184142912
2023-05-07,0.070323,0.070555,0.069296,0.069342,0.069342,163121117
2023-05-08,0.069337,0.069417,0.067429,0.068439,0.068439,221247793
2023-05-09,0.068441,0.069284,0.068084,0.069081,0.069081,181444363
2023-05-10,0.069084,0.070309,0.068506,0.069408,0.069408,220122062
2023-05-11,0.069411,0.069536,0.066954,0.067705,0.067705,215941932
2023-05-12,0.067703,0.069181,0.067306,0.069096,0.069096,215884738
2023-05-13,0.069099,0.069550,0.068560,0.069380,0.069380,148244433
2023-05-14,0.069376,0.069732,0.068940,0.069401,0.069401,150250447
2023-05-15,0.069401,0.070479,0.069215,0.070242,0.070242,156324130
2023-05-16,0.070243,0.070729,0.070020,0.070559,0.070559,177030609
2023-05-17,0.070555,0.071320,0.070314,0.071052,0.071052,180958724
2023-05-18,0.071058,0.071341,0.069950,0.070276,0.070276,188382376
2023-05-19,0.070273,0.070778,0.070142,0.070675,0.070675,138133276
2023-05-20,0.070678,0.072891,0.070574,0.072650,0.072650,207049769
2023-05-21,0.072645,0.076455,0.072119,0.075124,0.075124,337181123
2023-05-22,0.075121,0.079147,0.074326,0.078168,0.078168,400941744
2023-05-23,0.078146,0.079334,0.077671,0.078481,0.078481,233949094
2023-05-24,0.078486,0.078486,0.076506,0.076898,0.076898,234035901
2023-05-25,0.076891,0.078187,0.076701,0.076813,0.076813,220218292
2023-05-26,0.076809,0.077344,0.075465,0.075489,0.075489,207970256
2023-05-27,0.075484,0.077239,0.075277,0.077189,0.077189,158329168
2023-05-28,0.077184,0.077936,0.076826,0.077448,0.077448,171980184
2023-05-29,0.077450,0.078047,0.076160,0.076160,0.076160,173443791
2023-05-30,0.076161,0.077014,0.075845,0.076402,0.076402,188724764
2023-05-31,0.076402,0.076650,0.075161,0.075282,0.075282,194967702
2023-06-01,0.075274,0.075422,0.074280,0.074773,0.074773,162975054
2023-06-02,0.074774,0.083344,0.074695,0.082754,0.082754,339773520
2023-06-03,0.082755,0.085618,0.081194,0.081834,0.081834,531303825
2023-06-04,0.081830,0.082485,0.080326,0.081478,0.081478,264302975
2023-06-05,0.081479,0.081775,0.077540,0.078347,0.078347,256099265
2023-06-06,0.078347,0.079165,0.077531,0.078234,0.078234,244259894
2023-06-07,0.078230,0.078808,0.076411,0.076741,0.076741,218146752
2023-06-08,0.076742,0.077959,0.076245,0.077495,0.077495,160011052
2023-06-09,0.077514,0.078326,0.077162,0.078189,0.078189,152319248
